contracts[0].implementation.transactions[0].value.amount,contracts[0].value.amount,sumid.impletrans,resta.impletrans,porc.impletrans,flag.impletrans
0.0,2510.0,0.0,-2510.0,-1.0,1
0.0,840.0,0.0,-840.0,-1.0,1
0.0,677.0,0.0,-677.0,-1.0,1
0.0,6104.0,0.0,-6104.0,-1.0,1
0.0,1744.0,0.0,-1744.0,-1.0,1
0.0,39830.0,0.0,-39830.0,-1.0,1
0.0,4360.0,0.0,-4360.0,-1.0,1
0.0,1899.0,0.0,-1899.0,-1.0,1
65671.78,65671.78,65671.78,0.0,0.0,1
554193.48,582242.28,554193.48,-28048.800000000047,-0.04817376024290102,1
632177.36,1063663.33,632177.36,-431485.9700000001,-0.405660285383722,1
24560.45,153120.0,24560.45,-128559.55,-0.839599986938349,1
15513.84,139624.56,15513.84,-124110.72,-0.888888888888889,1
11770.12,100156.35,11770.12,-88386.23000000001,-0.8824825385509756,1
12959.87,12959.87,12959.87,0.0,0.0,1
195350.13,196195.8,195350.13,-845.6699999999837,-0.004310336918527225,1
15613.6,15613.6,15613.6,0.0,0.0,1
71479.2,71479.2,71479.2,0.0,0.0,1
0.0,115796.0,0.0,-115796.0,-1.0,1
21469.02,38969.17,21469.02,-17500.149999999998,-0.4490767958362982,1
0.0,178640.0,0.0,-178640.0,-1.0,1
0.0,266800.0,0.0,-266800.0,-1.0,1
0.0,34062.61,0.0,-34062.61,-1.0,1
9860.0,9860.0,9860.0,0.0,0.0,1
0.0,95276.61,0.0,-95276.61,-1.0,1
0.0,1250214.85,0.0,-1250214.85,-1.0,1
0.0,1100000.0,0.0,-1100000.0,-1.0,1
0.0,81736.44,0.0,-81736.44,-1.0,1
0.0,40000.0,0.0,-40000.0,-1.0,1
0.0,367488.0,0.0,-367488.0,-1.0,1
0.0,278404.11,0.0,-278404.11,-1.0,1
0.0,100000.0,0.0,-100000.0,-1.0,1
0.0,150000.0,0.0,-150000.0,-1.0,1
0.0,80638.56,0.0,-80638.56,-1.0,1
0.0,581699.4,0.0,-581699.4,-1.0,1
228326.66,1141633.33,228326.66,-913306.67,-0.8000000052556279,1
0.0,2262.23,0.0,-2262.23,-1.0,1
0.0,2991.0,0.0,-2991.0,-1.0,1
